source:/home/wmlinux/dir1/get_homologues-x86_64-20210828/MTB_vs_FH_15112022_homologues/sample_intersection	Agrobacterium_tumefaciens_C58_full.gb	_Azospirillum_brasilense_Sp7_full.gbk	_Blastochloris_viridis_DSM133.gb	_Magnetospirillu_15-1.gb	_Magnetospirillum.gbk	_Magnetospirillum_gryphiswaldense_NZ_CP027526.gb	_Mesorhizobium_japonicum_MAFF303099_full.gbk	_Rhodobacter_capsulatus_SB1003_full.gbk	_Rhodobacter_sphaeroides_2.4.1_full.gbk	_Rhodoblastus_acidophilus_DSM137.gb	_Rhodomicrobium_vannielii_ATCC.gbk	_Rhodoplanes_elegans_DSM11907.gb	_Rhodopseudomonas_pseudopalustris_DSM123.gb	_Rhodospirillum_rubrum_ATCC11170_full.gbk	_Rhodovastum_atsumiense.gbk	_Rhodovastum_atsumiense_G2-11.gbk	_Rubrivivax_gelatinosus_DSM1709.gb	
137_gltB.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
138_cysJ.faa	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
144_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
146_conserved_hypothetic...faa	1	1	0	1	1	1	1	0	1	0	0	1	1	1	1	1	1	
147_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
148_conserved_hypothetic...faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
149_ABC_transporter-_sub...faa	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	
150_ABC_transporter-_mem...faa	1	1	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	
152_hutC.faa	3	0	0	0	0	0	2	0	1	0	0	1	0	1	0	0	1	
155_tonB.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
156_putative_malate_dehy...faa	2	3	0	0	0	0	3	0	0	1	1	5	1	0	2	2	0	
157_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
158_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
159_transcriptional_regu...faa	1	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	
164_phnE.faa	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	
183_glnA.faa	1	0	0	0	0	0	1	1	1	2	0	0	0	0	0	0	0	
185_gntK.faa	1	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	
186_ABC_transporter-_mem...faa	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	
187_ABC_transporter-_nuc...faa	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	
188_ABC_transporter-_mem...faa	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	
189_ABC_transporter-_sub...faa	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	
190_conserved_hypothetic...faa	1	2	0	1	1	1	0	0	0	0	0	1	1	0	0	0	1	
191_aau3.faa	1	0	0	2	2	2	1	2	2	1	0	0	1	0	1	1	1	
193_conserved_hypothetic...faa	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	
194_conserved_hypothetic...faa	1	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	
196_conserved_hypothetic...faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
199_conserved_hypothetic...faa	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	
202_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
203_pncB.faa	1	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	1	
215_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
216_PilQ.faa	1	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	
217_conserved_hypothetic...faa	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
218_conserved_hypothetic...faa	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	
219_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
221_conserved_hypothetic...faa	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
222_lysozyme.faa	2	0	0	1	0	0	2	1	1	1	0	0	0	0	0	0	0	
224_transcriptional_regu...faa	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	
225_conserved_hypothetic...faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
226_conserved_hypothetic...faa	1	1	0	1	1	1	0	0	0	0	0	1	0	0	1	1	0	
227_oxidoreductase.faa	2	1	0	0	0	0	0	0	0	1	1	1	1	0	1	1	0	
228_transcriptional_regu...faa	2	0	0	1	0	0	1	0	0	0	0	0	0	0	2	2	1	
229_conserved_hypothetic...faa	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	
231_carbon-nitrogen_hydr...faa	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	
232_conserved_hypothetic...faa	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	
233_conserved_hypothetic...faa	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	
235_acetyltransferase.faa	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	
236_conserved_hypothetic...faa	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	
237_transcriptional_regu...faa	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
239_conserved_hypothetic...faa	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	
246_conserved_hypothetic...faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
251_acetyltransferase.faa	2	1	0	1	1	1	3	0	2	0	1	0	1	1	1	1	1	
252_oxidoreductase.faa	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
253_transcriptional_regu...faa	1	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	1	
254_hydrolase.faa	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	
255_oxidoreductase.faa	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	
256_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
257_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
259_mandelate_racemase_-...faa	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
260_transcriptional_regu...faa	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
261_pecS.faa	1	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	1	
262_pecM.faa	3	3	0	1	1	0	2	1	1	0	0	1	2	2	2	2	2	
263_ampS.faa	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
266_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
267_conserved_hypothetic...faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
268_transcriptional_regu...faa	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
269_hypothetical_protein.faa	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
271_pfs.faa	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
272_conserved_hypothetic...faa	1	1	0	1	1	1	1	1	2	1	0	0	1	0	1	1	1	
274_conserved_hypothetic...faa	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	
275_conserved_hypothetic...faa	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	
276_conserved_hypothetic...faa	1	1	0	1	0	1	1	0	1	0	0	0	0	0	1	1	1	
277_conserved_hypothetic...faa	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	
284_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
288_conserved_hypothetic...faa	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	
293_nodL.faa	1	0	0	1	1	1	2	0	0	2	1	1	2	0	1	1	1	
294_ugpA.faa	3	1	0	0	0	1	1	1	1	0	0	1	2	0	1	1	1	
295_ugpA.faa	4	1	0	0	0	0	1	1	1	0	0	0	1	1	1	1	1	
296_ugpE.faa	3	1	0	0	0	0	1	1	1	0	0	0	1	0	1	1	1	
297_ugpC.faa	6	1	0	0	0	0	7	1	2	0	0	0	3	2	3	3	1	
298_conserved_hypothetic...faa	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
302_RhtB_family_transpor...faa	1	1	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	
306_conserved_hypothetic...faa	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	
307_conserved_hypothetic...faa	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	
328_SAM_dependent_methyl...faa	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
329_trmH.faa	1	2	0	1	1	1	1	0	0	1	0	1	0	0	1	1	1	
336_conserved_hypothetic...faa	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	
352_rbsK.faa	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	
353_conserved_hypothetic...faa	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	0	1	
357_conserved_hypothetic...faa	1	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	0	
361_methyl-accepting_che...faa	1	1	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	
362_iunH.faa	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	
365_conserved_hypothetic...faa	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	
369_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
370_conserved_hypothetic...faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
375_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
376_mcpA.faa	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
378_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
379_ubiE.faa	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
380_ABC_transporter-_nuc...faa	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	
381_ABC_transporter-_mem...faa	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	
382_ABC_transporter-_mem...faa	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	
383_ABC_transporter-_sub...faa	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	
384_conserved_hypothetic...faa	1	1	0	0	0	0	2	0	0	0	0	1	2	1	2	2	0	
387_conserved_hypothetic...faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
390_scrK.faa	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	
391_conserved_hypothetic...faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
392_conserved_hypothetic...faa	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
399_transcriptional_regu...faa	1	1	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	
400_conserved_hypothetic...faa	1	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	1	
401_hypothetical_protein.faa	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	
402_stress_induced_prote...faa	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
403_conserved_hypothetic...faa	1	0	0	2	1	0	0	0	1	0	0	0	2	0	1	1	1	
404_conserved_hypothetic...faa	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
413_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
414_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
418_apaG.faa	1	1	0	1	1	1	1	0	0	1	0	1	1	1	1	1	1	
421_conserved_hypothetic...faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
422_conserved_hypothetic...faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
423_intD.faa	1	0	0	0	3	0	1	1	3	2	2	0	0	1	1	1	1	
424_conserved_hypothetic...faa	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
425_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
426_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
427_putative_phage_repre...faa	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
428_conserved_hypothetic...faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
429_hypothetical_protein.faa	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
430_conserved_hypothetic...faa	1	0	0	0	1	0	1	0	0	2	1	0	0	0	0	0	0	
431_conserved_hypothetic...faa	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
432_hypothetical_protein.faa	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
433_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
434_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
435_nusG.faa	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
436_conserved_hypothetic...faa	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
437_conserved_hypothetic...faa	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	
438_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
439_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
440_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
441_putative_phage_tail_...faa	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
442_conserved_hypothetic...faa	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	
443_conserved_hypothetic...faa	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	
444_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
445_putative_bacteriopha...faa	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	
446_conserved_hypothetic...faa	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	
447_conserved_hypothetic...faa	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	
448_endolysin.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
449_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
450_hypothetical_protein.faa	1	0	0	1	0	0	0	1	5	0	0	0	0	0	0	0	0	
451_transcriptional_regu...faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
452_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
453_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
454_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
455_conserved_hypothetic...faa	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	
456_conserved_hypothetic...faa	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	
457_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
458_conserved_hypothetic...faa	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	
459_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
460_putative_RNA_polymer...faa	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
461_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
462_aqpZ.faa	2	1	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	
463_conserved_hypothetic...faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
466_polysaccharide_biosy...faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
468_polysaccharide_deace...faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
476_conserved_hypothetic...faa	2	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	
479_conserved_hypothetic...faa	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
482_conserved_hypothetic...faa	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	3	
485_conserved_hypothetic...faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
486_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
488_acetyl-CoA_acetyltra...faa	1	0	0	1	0	0	1	1	1	0	1	0	2	0	1	1	1	
489_fadB.faa	1	0	0	3	1	0	2	1	2	0	2	0	2	0	1	1	1	
490_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
491_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
492_conserved_hypothetic...faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
493_phaG.faa	2	1	0	0	0	0	0	1	2	0	0	1	1	1	0	1	1	
494_phaF.faa	1	1	0	0	0	0	0	1	2	0	0	1	1	0	0	1	1	
495_phaE.faa	1	1	0	0	0	0	0	1	2	0	0	1	1	1	0	1	1	
496_phaD.faa	2	1	0	0	0	0	0	1	2	0	0	1	1	1	0	1	1	
497_phaC.faa	1	1	0	0	0	0	0	1	2	0	0	1	1	1	0	1	1	
498_phaA.faa	1	1	0	0	0	0	0	1	2	0	0	1	1	0	0	1	1	
499_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
500_methyl-accepting_che...faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
501_conserved_hypothetic...faa	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
507_cheD.faa	1	2	0	0	0	1	0	1	1	0	1	0	0	1	0	0	1	
508_conserved_hypothetic...faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
510_luxR.faa	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
511_agrR.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
514_mscL.faa	1	1	0	0	0	0	3	0	1	0	0	1	1	0	0	0	1	
515_aspB.faa	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	
517_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
518_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
526_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
527_fla.faa	4	1	0	0	0	1	2	1	1	2	1	0	0	1	0	1	0	
529_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
532_fliL.faa	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	
534_conserved_hypothetic...faa	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	
536_flgA.faa	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	1	0	
540_flgB.faa	1	1	0	2	0	0	0	1	1	1	1	0	0	0	0	1	0	
541_conserved_hypothetic...faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
544_conserved_hypothetic...faa	1	1	0	0	0	0	1	1	1	1	1	0	0	0	1	1	0	
545_motA.faa	1	2	0	1	1	1	1	1	1	1	1	0	0	1	1	2	1	
546_fliM.faa	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
550_conserved_hypothetic...faa	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	
551_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
553_conserved_hypothetic...faa	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	
555_Chemotaxis_protein.faa	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	
556_motD.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
557_conserved_hypothetic...faa	1	2	0	1	1	1	1	1	2	1	1	0	0	1	2	2	0	
558_transcriptional_regu...faa	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	
561_flgL.faa	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	
562_flaF.faa	1	2	0	1	1	2	1	1	1	1	1	1	1	1	0	1	0	
563_flbT.faa	1	2	0	1	1	1	1	1	1	1	1	1	1	1	1	2	0	
564_flgD.faa	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	
568_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
569_conserved_hypothetic...faa	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	
